INTERVIEW_START_W55,ENVIR8_e_W55,EN7_W55,F_AGECAT,F_SEX,F_EDUCCAT,F_EDUCCAT2,F_PARTYSUM_FINAL
2019-10-05 18:14:00,3.0,3.0,2.0,2.0,2.0,3.0,1.0
2019-10-04 15:30:00,2.0,1.0,4.0,1.0,1.0,5.0,2.0
2019-10-09 15:14:00,99.0,2.0,2.0,2.0,3.0,2.0,1.0
2019-10-03 21:34:00,2.0,1.0,3.0,2.0,2.0,3.0,2.0
2019-10-03 20:58:00,3.0,2.0,3.0,2.0,1.0,6.0,1.0
2019-10-04 13:13:00,2.0,1.0,4.0,2.0,2.0,4.0,2.0
2019-10-09 01:42:00,2.0,1.0,3.0,1.0,1.0,5.0,2.0
2019-10-08 18:12:00,3.0,3.0,4.0,1.0,3.0,2.0,1.0
2019-10-04 21:43:59,2.0,1.0,3.0,1.0,1.0,5.0,2.0
2019-10-04 00:36:59,1.0,4.0,3.0,2.0,2.0,3.0,1.0
2019-10-11 08:36:00,3.0,1.0,3.0,2.0,3.0,2.0,2.0
2019-10-05 00:30:00,2.0,1.0,3.0,2.0,2.0,3.0,1.0
2019-10-03 23:27:59,3.0,3.0,1.0,2.0,2.0,3.0,1.0
2019-10-04 19:20:00,2.0,1.0,4.0,1.0,1.0,6.0,2.0
2019-10-05 22:45:00,1.0,3.0,3.0,2.0,3.0,2.0,1.0
2019-10-06 18:21:00,2.0,1.0,4.0,2.0,1.0,6.0,2.0
2019-10-05 14:51:59,3.0,3.0,3.0,1.0,1.0,5.0,1.0
2019-10-05 17:48:00,2.0,1.0,4.0,1.0,1.0,5.0,2.0
2019-10-05 02:20:59,3.0,2.0,4.0,2.0,2.0,4.0,1.0
2019-10-04 23:31:00,2.0,2.0,4.0,2.0,3.0,2.0,1.0
2019-10-05 02:00:00,3.0,2.0,3.0,1.0,1.0,6.0,1.0
2019-10-05 13:35:59,2.0,2.0,4.0,2.0,1.0,6.0,2.0
2019-10-05 01:02:00,2.0,1.0,3.0,2.0,3.0,2.0,2.0
2019-10-07 17:57:00,99.0,99.0,4.0,2.0,2.0,3.0,1.0
2019-10-03 21:25:00,2.0,1.0,3.0,2.0,2.0,3.0,2.0
2019-10-06 20:46:00,2.0,2.0,4.0,2.0,3.0,2.0,1.0
2019-10-04 22:27:00,3.0,2.0,2.0,1.0,2.0,4.0,1.0
2019-10-09 04:45:00,2.0,1.0,2.0,2.0,2.0,4.0,2.0
2019-10-09 19:46:00,2.0,2.0,4.0,1.0,1.0,5.0,2.0
2019-10-04 21:29:00,2.0,1.0,4.0,2.0,1.0,6.0,2.0
2019-10-03 21:12:00,2.0,1.0,4.0,1.0,1.0,6.0,2.0
2019-10-05 00:45:00,1.0,2.0,2.0,2.0,3.0,2.0,1.0
2019-10-07 11:40:00,2.0,2.0,4.0,2.0,1.0,5.0,1.0
2019-10-03 21:15:00,1.0,3.0,3.0,1.0,1.0,5.0,1.0
2019-10-09 16:31:00,2.0,1.0,3.0,2.0,1.0,6.0,2.0
