Year,Gas Fuel,Liquid Fuel,Solid Fuel,Cement,Gas Flaring,population,GCAG_TEMP,GIS_TEMP,Sea_anomaly_temp,GMSL,CO2_Increase,CSIRO Adjusted Sea Level,Glacier_mass
2011,1676.1526315789451,3214.2105263157864,3609.5684210526233,418.33684210526553,66.99473684210488,21089368025.515747,0.7075415789473638,0.7259473684210462,0.6056834305263123,60.11473684210614,2.293578947368431,8.671342717905276,-25.111584210526416
2012,1708.2624060150338,3250.6353383458627,3688.6225563909684,432.83082706767163,68.81804511278187,21331001739.031555,0.7263803007518774,0.7464661654135298,0.6291958696240556,63.290902255639594,2.3458721804511384,8.8002220025962,-25.705939849623974
2013,1740.3721804511224,3287.060150375939,3767.6766917293135,447.32481203007774,70.64135338345841,21572635452.547363,0.745219022556391,0.7669849624060134,0.652708308721806,66.46706766917305,2.398165413533846,8.929101287287182,-26.30029548872176
2014,1772.4819548872183,3323.4849624060153,3846.7308270676585,461.81879699248384,72.46466165413494,21814269166.06311,0.7640577443608976,0.7875037593984899,0.6762207478195492,69.64323308270741,2.4504586466165534,9.057980571978163,-26.894651127819543
2015,1804.591729323307,3359.909774436077,3925.7849624060036,476.31278195488994,74.28796992481193,22055902879.57892,0.7828964661654112,0.8080225563909735,0.6997331869172925,72.81939849624086,2.502751879699261,9.186859856669145,-27.489006766917328
2016,1836.7015037593956,3396.3345864661533,4004.8390977443487,490.80676691729604,76.11127819548847,22297536593.094727,0.8017351879699248,0.8285413533834571,0.7232456260150357,75.99556390977523,2.5550451127819684,9.315739141360126,-28.083362406015112
2017,1868.8112781954842,3432.7593984962296,4083.8932330826938,505.30075187970215,77.934586466165,22539170306.610474,0.8205739097744313,0.8490601503759336,0.746758065112779,79.17172932330868,2.607338345864676,9.444618426051107,-28.67771804511267
2018,1900.9210526315728,3469.184210526306,4162.947368421039,519.7947368421083,79.75789473684199,22780804020.12628,0.839412631578945,0.8695789473684172,0.7702705042105222,82.34789473684214,2.6596315789473834,9.573497710742089,-29.272073684210454
2019,1933.0308270676687,3505.609022556382,4242.001503759384,534.2887218045144,81.58120300751852,23022437733.64209,0.8582513533834586,0.8900977443609008,0.7937829433082655,85.5240601503765,2.7119248120300767,9.70237699543307,-29.86642932330824
2020,1965.1406015037574,3542.0338345864584,4321.055639097729,548.7827067669205,83.40451127819506,23264071447.157898,0.8770900751879651,0.9106165413533773,0.8172953824060158,88.70022556390995,2.7642180451127842,9.831256280124052,-30.460784962406024
2021,1997.250375939846,3578.4586466165347,4400.109774436074,563.2766917293266,85.22781954887205,23505705160.673645,0.8959287969924787,0.9311353383458609,0.8408078215037591,91.87639097744432,2.8165112781954917,9.960135564815033,-31.05514060150381
