Entity,emissions_per_kg,href
Beef (dairy),365.29,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxAQEA8QEBAPDw8PDw8PDw8PEBAQEA8PFREWFhURFRUYHSggGBolGxUVITEhJSkrLi4uFx8zODMsNygtLisBCgoKDg0OFRAQFSsdHR0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0rLS0tLS0tLS0tLSstLS0tLSstLf/AABEIALcBFAMBIgACEQEDEQH/xAAcAAADAAMBAQEAAAAAAAAAAAAAAQIDBAUHBgj/xAA/EAACAgECAwUGAwUIAQUBAAABAgADEQQhBRIxBhNBUWEHInGBkaEUUrEyQpLB0SMkM2JyguHw8RdjZKKyFf/EABgBAQEBAQEAAAAAAAAAAAAAAAABAgME/8QAIhEBAQEBAAIBAwUAAAAAAAAAAAERAhIhMQMiQRMyUWFx/9oADAMBAAIRAxEAPwD1WUBCE00IQjEBQjxHIhYjEIQCEI8QFHiGI4ChiEIUQxHDEAhDEIQRSsQxAmBlAQxCpixLhiBGISoQJxFiVFCJhiViEomEZEUgMRRwgTCPEIDhCPEAxCPEICzHAxiAYhHHiAoYjjxCpxDEqGIE4hiVCAo4wJzdPcdRzMCRSGZUA2NnKcFmPlkHA+vXAaNxr1G2cnyUFj88dJPfMei4/wBR3+g/rKWrAAAAHkNo+SQTzHz+gH85LJnqW/iI/TEzBI2AxAwCoevzJP6xmoeQmQGcPjWg15y+j1gR85FGopqajl8V5lTnHxyZNg6x06/lX6CMIB0AHwAmlwS/VFCNalCXKcc+md2psHnhwGQ+hyPI+XSZZRijBjIhKiSxjUn/AMwIjSFI2eYPy3lI6tnB6dR4j4jwgwEw31Bh5EdGGzL8DIjORFianC9YbO9R8d5S/dsRsGGAVbHhkHp5zclEwlRGAoQhCnHCEoI4COQEOWMSgIRIWViWFmpr9WE2zhsdeuPl5ybitkLKCzkjWthix6eh6eoEx8RtsvoaqjUfhLH2S5Qlh+GDuB6jBHhJ5GO2EkqQdgVOOuCDieD8P7a8Q4Rq76tZz6rcCyq24n3jgrbXaQxwV8Ohz0Bns/AuKVazT06uke5dWGXZSyn96tiOhUggjPUGLR0uSHLJDmRRqFsBKMrgMykqwYBgcFTjoQdsR5Ky4nGq/upKkFtOWZlKglquY5IIHVck7+GZ1z5/acfU6xWcgHeq3u29Dyq2PoRJeh1aNQli81bK6+akESNZqUqR7LGCoilmYnAA9TObxKzTUr39ild1U2VghxnxONyPr8Jj1+mp1VDIW/EVuueVWTnI8GDZGCPhJbRqL274ceX+8Ec3/tXe76N7u07duuRafxChrquQ2A08rZTGeYZIz8p8Houw2jFyOx13KjZNNtXNW23RmCjafbd8tQVFetUVdkUEMo8AERTtJaPO7PaTqm5666Kmte3FDgNnlLjlRq8nLEbbMNzPQuA66y+hbLqXot/ZsrdWX3xjJXO/KfCeWdq+z5v11tmn1mgHeMp7q6+2q1bcDmAHJ5jPznp/Aa700tC3ur3LUq2P3ivzMBu3Ntn6Rajz3ttwvjFepu1FN+os06s1tZqtx3SdShpzvjp0OR856D2R1zajR02sOUsiHHxRW29N8D0AmxapP5f40/rM/DxyqRt+1+6VI6DyMs6MZyknllM/ofqJBZvyj+I/0mtCYQWIhz4qP9pP3zIOnJ6u59AQv3UA/eXUO21VUlmCjPViAPvNC3UO+1KEkn/EsBWtfUDq36es3V0iLuFHN+Y7t9TvMijpAwcM0ApQjJd3YvY7dXc9T/xNoyhJMIUIQlUoR4hCCEI8QojhAQKnC7dW6xNBe+hyNQvKcqodxXze+UU7FsfHxxvid0S1gfmbhml1mr1VIXX6jvbnGbXvclR1Zwc+QOAPHE/QFGnCVouWs5EWsu7szsVAHM5bqdt/PM+N9pvZKnTKeMaNWq1GmtruvrrwK7k5wHfl/dbfcjYgnI8Z9DwPi9eqprvobmSwZBJ3B6FWHgw6GY6WOn+ELY3IHn72x9d+nylfgmz7uCP3gFAAb/v/AHeZEtAGQQCBzYfYDbdi3gNjPiONe1fS1C0aVL9Zaqt3dgUVaXmG2SSQzqDvkA585ie1fAe10qeJMpZUNempBLeLcztytjxwy/aL2d+0Gzh1FunFDawNb3taqxQVEj3hkqdiQDj4+c8+1upsussttYvZY7O7t1Z2OSZ1eB8ZFPulRy+fjmdM9MvvO0/tTs1Wlv0jaMadruUC3vjYVAYMRjlUg7bHznxvZjtPq+H2tbprMFwVsSzmeuz1Zc7keB+/hNDjetF9nOBygDHxM06LNpcH6t4JxuvU6CjWFkrWylbLffBWl8DnQnwwcjefIaDjFZ1esXn5ls1tfd+vPRVj/wDJnjnZ/tHZpU1lHM34fWaTUU2Vjde9aoiuzB6EHAyN8H0n0vZNXA09v5qaWU/5qyy/ymMXXqfa6iyzTgJWLQr8zdS1YCn3lA6/f+nxHC9ddpbe9q5Q2CpDDIZSQSD9B9J6fw9jZylQcEA58MEZ+ca9ktJzF2qViTnByVHwU7TM6k+Sq0+q72quwYHOivy5zgkZxPme2fZz8WEsrQm9NthjmTyJPTB3HxM+4r0laAAAADoAJsKomfL2uPCdX7OOIWHIVBnGTZcxP2Bn1fZ3gPGNLQKRbpiA/Mps76zlTA/sx026/WelNIJj9T+jxcKjR3lR3gTn8eTm5c+gO4m7oqWrDDBPM5fr02AwPpN4tDmk86uMQLflP2hz+YP0mYGGZr9SpjD3g85QaWQD4SDSPDb4Sz6hh5k4ksrD1EaHM3LqLHSEF6CBm0TCMxQCEIQHiOKOAQEBHIGJayJaSqx8V0I1Gm1FBwBfRbVkgEDnQrkj5zwz2Paw0vxMWNy6WmsX2MTlayhYFvXKg/wz17t1xxdDw7V3lgr901dOT1vcFUA+Zz8jPEeK0NwzgdFBymo4pZ31y7hvwyLkIfLrXkf5mEzRo9qPaRqtbU2nVV02ncnnStnNlqZ2rdj4eYGM/afLavX8xZkr7suoRiCT7oAGBnoNhNAnJOYKsuSM6I1YyhVkyyn/AB8YGHMyrZjbb6TER4yQesDKXntnsq4Wt+i0TNuFN4I88XPgfpPDMz9D+wy4HhqA4yl1wB8stnH3merkWR6bpqAoGBgCZHlK2AJiZpwrcIyS8ZMnkz4zKjOfL59ZJmTlkkQjCJWI44VMJWIYlExiPEIQ8TA4APxlvaBNR7smb59I3BAxmKd2CiMZhCpMJUIUQhCUMQiEcgJYkShKPnO03GVq1FVBXmzT3265H+Jy/wAhOXxji3D7qiNdTVdWoP8AioGxnrynqp9RvPrOJcJp1PL3gPMoIDKcEA+HqJwNR2H5/dNlbKTnDof03nn7nfl6defGz280/wDT/QcR07anhj3ab3nVK9Q3PUxVyM5xzAEb5yfhPle1PY3UcNWpnK212YHfIDhbMZ7sg9PQ+PpP0hwbsulAUFgyruEVeRc+u+80faV2TbiOheqhzXen9pUoYrXaRv3bgbb+BPQ49Z058vy5XH5X6H1/4Myoc4HpMOqR0dksVldGKsrDDKynBUjwORiZtDW7khEdyBzEIpYhcgZwPUj6zbLE9RY9MATAw9J1RUSvNg8pOObHu83XGfPE1bUAgaJnuXsPu/uNg8tQ4/8Aqh/nPD3E9o9hA/u+oX/5Ib6pWJz+r+1rn5eu33kTANYZGqO80XM8+1vHVXXekyLrVnC5zF3xl8lx9ANUDsMkxfifTxx8/pOHXqSN5R1Rz18cx5RMrtG0jqPvDvjv7p26zj2awnG/TpJ/Ftvv1jyhldg3Zzt0GT70QuOw2Gen/M434k+cY1B848jHVfVkEjaYX1h85zmsMnmjyMbb35j05yy/GagM3NAPfX4zXPupXYIky2kT0sFmEIQCEIQFHFmEKYjigIDjBihAsGWGmLMeYG0tkzI+ZohpavBjyf249gWu5eIaKh3uzjVpUAS6Bci7l6kjHKcbnI8pzfZd2efQV2666t/xb0uK6D7pFWzchH52Kjr029Z7kj52M8912uxq9TTYiIiWAUupJDL4q6n9kg+I2IPhjfHdyLOXC7OdodHr21PCbuGNp0c2X8vdlAdx/atnDJbkjffJHXwPlfbPs/ZoNQ1L+8uOemwDAsrPQ+hHQjzHwnvOnJ5gqcxYnAC+PpOd7TuxNus0KuvJ+LofmrUn9pCp5qubzJCnyyszz17Xrn0/ODdZ7b7C6GWu8n9lrAQfVUGR91+s80u7LWV8OOvfKsdSKhWcbVDmUufXvABj0M9y9m+iFPD+HOBg31am1z5lnXlP8IUfKXu7GI+l1J3mlZNu5t5qvOFjprAZJEyESSJnF1jhKixIaUI4Yg0RiICVKaBKEQEqWRkxN/ho98fP9JoCdLhK+98AZ04ntHTaTKMiehKUIzFCCEIQJhDMIDjkwgVDMmGYVWY8yMwzAyAxgzFmUDAzo0+G7b8OZdSt6n3bVHMPJ12/TH3n2qmfL9sLeZlUb8g39Cf+ic/q87y3z1lX2M0RezvD+zVv/uOcD9Z2O215r0ysOgtQMfIEMP1xMHYpsUN5m05/hWdnXVJdW9VgyjjDDx+I9ehknP2ZE37tebXaejUVNVYivU55mQj3S3NzZ28ebefU8OqCabShQFRDbWigYCrgAKPTafM3aI0WvVkkI2AfMeB+mJ9aXA0lH+QIx+/N9zOXO+9a6k/DBY0wsZdkxGKykyYzFMqCIsQzFIGYo4oDxGIgY5UVCIGOaQxOrwgbt8JyROvwgbMfhOnHyN8yDKJkEzsgJhFmGYDhJ5v+4hBiYZihmEOEUIDhJzDMLFZizJzFmBeYw0xc0nnhVa3WrRVZc/7Falm+E+E1PFEvLOHByS2M+c+l7Saay/TWVVsqs+N2zgjyOPl9J5rp+xerXYoARtziwBSPMY3+04fUvW+p6dOJznuvRexupYd6pVhXhHRyCEbcg8p6Hp9p9C+pnyHBtC9CqrOWwOg6TqPqeUEk7AZPwE1zsnti/LkcUu5rrG/zEfTb+U6Wg1QehqvFQSB5rnP6zzF+1tnele6L5Zx8cHP859V2P4i1r2u9fd8qqKwWOcEnmyOngv3nGd+/9dLxcfTodh47DeBmCk8gIPQMQP8ATn3ftgfKbAwZquSDEZlKSSszRjhiVyw5ZFRiKZMRcsCYxK5YwsuIkCOViRZYB/SUBYCdjhP+HzfmJx8BtPnWUuRk9TsoHT4mfTVKFVVHgAJ14GZmk5kFoszqjJmOY8x5gURCLMIRMIoZgMmLMIQCLMDJMBkyCYGIwsImSTGZMKTGYmmQyCJkYSsw3UhgQdwRg+om1iHLJg+Rs7GaUuHAsVhnBFj7Z69Z2NBw2ukYQHfqSSxPzM6vJJZJjwn8LtaxIzv8JFmmYklT73rDUrI0euAPLYceTHx9DJ1EIXXJsyg/UbfpK/8A6KjZgV8dx95ta4ZCEDPXcbzElAb/AJAMzYEutrP7wmTv1/MPqJhs4bnoq5+YzNC7R2If8JCP9x/Qyex1O9XzEDcn5h9ROfp61Ye8gB8gzGZe6QdEH3P85IrYOrQeOfhvKS1mGVXb8zbCaZJHQKPgFkcxJAPvb+JOBLo3Tk9W+S7D6yO6yMnYen8yYEZwBkk7AAfYTKwAAU9R1E3iL4dUC3N+6vT1M63POfQ2AAOg6TZVpvkZuaAaYwY8zYygygZiEoGEXmEUcoIQhDIhCEKRkyojAkiLEuIwrGRERLxERCsZERWZMRYkwRyw5ZeIYgQViKzJiIiQattWZy9XozO6RmQ1Qks0fMV3PXtuVBzjJ+3lOhRr62/fKnyf+oP6zet0IPhNC7hI8JjLBnawno3MP9eB99vvMN2qcDdWIHiOQ/cGah4a69CR8DF3Vo8Sfjv+szRs1XBv6HrG1mPCagrs8h/CP6Su7sP/AImcBZafL6mSlrDpt64mRdI0z16Eyzmqiu5vDr5+PymalDNirRYm0lGJuSoipZsII1SUBOkBKiAlASwEsRARgSoeIQzCEPMcIQghCEBZihCFERhCAoQhCiEIQoxFiEIQsRYhCFBWAEISJp8skpCEika5JoHkIQjBJoHkI+4HlCEYGKR5CUEEcIwHLDlhCA8QEISwOMQhKihHCEIIQhBj/9k="
Beef (beef),301.41,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRv71VOQgo9WfAUipRuwhkXUSu6gsy-fS6ZNQ&usqp=CAU
Fish (farmed),235.12,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSZH4IX_1mkeNJj0ZbYOz2Ngo4v5kNVOAFa4A&usqp=CAU
