,Year,Gas Fuel,Liquid Fuel,Solid Fuel,Cement,Gas Flaring
0,2011,1676.1526315789451,3214.2105263157864,3609.5684210526233,418.33684210526553,66.99473684210488
1,2012,1708.2624060150338,3250.6353383458627,3688.6225563909684,432.83082706767163,68.81804511278187
2,2013,1740.3721804511224,3287.060150375939,3767.6766917293135,447.32481203007774,70.64135338345841
3,2014,1772.4819548872183,3323.4849624060153,3846.7308270676585,461.81879699248384,72.46466165413494
4,2015,1804.591729323307,3359.909774436077,3925.7849624060036,476.31278195488994,74.28796992481193
5,2016,1836.7015037593956,3396.3345864661533,4004.8390977443487,490.80676691729604,76.11127819548847
6,2017,1868.8112781954842,3432.7593984962296,4083.8932330826938,505.30075187970215,77.934586466165
7,2018,1900.9210526315728,3469.184210526306,4162.947368421039,519.7947368421083,79.75789473684199
8,2019,1933.0308270676687,3505.609022556382,4242.001503759384,534.2887218045144,81.58120300751852
9,2020,1965.1406015037574,3542.0338345864584,4321.055639097729,548.7827067669205,83.40451127819506
10,2021,1997.250375939846,3578.4586466165347,4400.109774436074,563.2766917293266,85.22781954887205
11,2022,2029.3601503759346,3614.883458646611,4479.163909774419,577.7706766917327,87.05112781954858
12,2023,2061.4699248120305,3651.3082706766872,4558.218045112764,592.2646616541388,88.87443609022512
13,2024,2093.579699248119,3687.7330827067635,4637.272180451109,606.7586466165449,90.6977443609021
14,2025,2125.6894736842078,3724.15789473684,4716.326315789454,621.252631578951,92.52105263157864
15,2026,2157.7992481202964,3760.582706766916,4795.3804511277995,635.7466165413571,94.34436090225518
16,2027,2189.909022556385,3797.0075187969924,4874.4345864661445,650.2406015037632,96.16766917293216
17,2028,2222.018796992481,3833.4323308270687,4953.48872180449,664.7345864661656,97.9909774436087
18,2029,2254.1285714285696,3869.8571428571304,5032.542857142835,679.2285714285717,99.81428571428523
19,2030,2286.238345864658,3906.2819548872067,5111.596992481209,693.7225563909778,101.63759398496222
20,2031,2318.348120300747,3942.706766917283,5190.651127819554,708.216541353384,103.46090225563876
21,2032,2350.4578947368354,3979.1315789473592,5269.705263157899,722.71052631579,105.28421052631529
22,2033,2382.5676691729313,4015.5563909774355,5348.759398496244,737.2045112781962,107.10751879699228
23,2034,2414.67744360902,4051.981203007512,5427.813533834589,751.6984962406023,108.93082706766882
24,2035,2446.7872180451086,4088.406015037588,5506.867669172934,766.1924812030084,110.7541353383458
25,2036,2478.8969924811972,4124.830827067664,5585.921804511279,780.6864661654145,112.57744360902234
26,2037,2511.006766917293,4161.255639097741,5664.975939849624,795.1804511278206,114.40075187969887
27,2038,2543.1165413533818,4197.680451127817,5744.0300751879695,809.6744360902267,116.22406015037586
28,2039,2575.2263157894704,4234.105263157893,5823.084210526315,824.1684210526328,118.0473684210524
29,2040,2607.336090225559,4270.5300751879695,5902.13834586466,838.6624060150389,119.87067669172893
30,2041,2639.4458646616476,4306.954887218046,5981.192481203005,853.156390977445,121.69398496240592
31,2042,2671.5556390977363,4343.3796992481075,6060.24661654135,867.6503759398511,123.51729323308246
32,2043,2703.665413533825,4379.804511278184,6139.300751879695,882.1443609022572,125.34060150375899
33,2044,2735.775187969928,4416.22932330826,6218.35488721804,896.6383458646633,127.16390977443598
34,2045,2767.8849624060167,4452.654135338336,6297.409022556385,911.1323308270694,128.9872180451125
35,2046,2799.9947368421053,4489.078947368413,6376.46315789473,925.6263157894755,130.81052631578905
36,2047,2832.104511278194,4525.503759398489,6455.517293233075,940.1203007518816,132.63383458646604
37,2048,2864.2142857142826,4561.928571428565,6534.57142857142,954.6142857142877,134.45714285714257
38,2049,2896.324060150371,4598.3533834586415,6613.625563909765,969.1082706766938,136.2804511278191
39,2050,2928.43383458646,4634.778195488718,6692.67969924811,983.6022556390999,138.1037593984961
40,2051,2960.5436090225485,4671.203007518794,6771.7338345864555,998.096240601506,139.92706766917263
41,2052,2992.653383458637,4707.62781954887,6850.787969924801,1012.5902255639121,141.75037593984916
42,2053,3024.7631578947403,4744.052631578947,6929.842105263146,1027.0842105263182,143.57368421052615
43,2054,3056.872932330829,4780.477443609023,7008.896240601491,1041.5781954887243,145.3969924812027
44,2055,3088.9827067669175,4816.902255639085,7087.950375939836,1056.0721804511304,147.22030075187922
45,2056,3121.092481203006,4853.327067669161,7167.004511278181,1070.5661654135365,149.0436090225562
46,2057,3153.202255639095,4889.751879699237,7246.058646616526,1085.0601503759426,150.86691729323275
47,2058,3185.3120300751834,4926.1766917293135,7325.112781954871,1099.5541353383487,152.69022556390928
48,2059,3217.421804511272,4962.60150375939,7404.166917293216,1114.0481203007548,154.51353383458627
49,2060,3249.5315789473607,4999.026315789466,7483.221052631561,1128.542105263161,156.3368421052628
50,2061,3281.6413533834493,5035.451127819542,7562.275187969906,1143.036090225567,158.16015037593934
51,2062,3313.7511278195525,5071.875939849619,7641.329323308251,1157.5300751879731,159.98345864661633
52,2063,3345.860902255641,5108.300751879695,7720.383458646596,1172.0240601503792,161.80676691729286
53,2064,3377.9706766917298,5144.725563909771,7799.4375939849415,1186.5180451127853,163.63007518796985
54,2065,3410.0804511278184,5181.150375939847,7878.491729323287,1201.0120300751914,165.45338345864639
55,2066,3442.190225563907,5217.575187969924,7957.545864661632,1215.5060150375975,167.27669172932292
56,2067,3474.2999999999956,5254.0,8036.600000000006,1230.0000000000036,169.0999999999999
57,2068,3506.4097744360843,5290.424812030062,8115.654135338351,1244.4939849624097,170.92330827067644
58,2069,3538.519548872173,5326.849624060138,8194.708270676696,1258.9879699248122,172.74661654135298
