,Year,Total,Gas Fuel,Liquid Fuel,Solid Fuel,Cement,Gas Flaring,GCAG,GISTEMP
239,1990,6127,1019,2492,2419,157,40,0.4328,0.44
240,1991,6217,1063,2605,2345,161,44,0.4055,0.43
241,1992,6164,1095,2510,2357,167,35,0.2571,0.23
242,1993,6162,1129,2523,2298,176,36,0.2853,0.24
243,1994,6266,1139,2546,2358,186,38,0.3409,0.32
244,1995,6398,1157,2565,2442,197,36,0.4577,0.46
245,1996,6542,1209,2624,2469,203,37,0.3228,0.35
246,1997,6651,1208,2700,2495,209,38,0.5187,0.48
247,1998,6643,1243,2766,2391,209,35,0.6344,0.64
248,1999,6610,1270,2737,2352,217,33,0.4438,0.42
249,2000,6765,1288,2838,2367,226,45,0.4262,0.42
250,2001,6927,1312,2840,2492,237,46,0.5473,0.55
251,2002,6996,1344,2831,2521,252,48,0.6023,0.63
252,2003,7416,1391,2959,2743,276,48,0.6134,0.62
253,2004,7807,1437,3053,2967,298,53,0.5783,0.55
254,2005,8093,1480,3076,3157,320,60,0.6585,0.69
255,2006,8370,1525,3089,3339,356,61,0.6125,0.63
256,2007,8566,1572,3081,3464,382,68,0.61,0.66
257,2008,8783,1631,3122,3571,388,71,0.5419,0.54
258,2009,8740,1585,3056,3620,413,66,0.6367,0.64
259,2010,9167,1702,3114,3842,450,59,0.7014,0.71
