Year,Category_1,Category_4,Category_2,Category_3,Hurricane_total
2017,107.4973201744772,39.13709869827623,56.921214266730374,57.625326941524804,280.92977638439703
2018,109.36086221630403,40.00299727487511,56.710120896298804,58.633186537464894,285.86386720198976
2019,111.22440425813129,40.868895851474235,56.499027525867874,59.64104613340518,290.79795801958363
2020,113.08794629995786,41.734794428072995,56.28793415543563,60.648905729345145,295.73204883717574
2021,114.9514883417847,42.60069300467188,56.076840785003995,61.65676532528522,300.66613965476836
2022,116.8150303836115,43.466591581270755,55.86574741457238,62.6646249212253,305.60023047236103
2023,118.67857242543862,44.332490157869785,55.65465404414105,63.67248451716553,310.53432128995456
2024,120.5421144672654,45.19838873446865,55.44356067370944,64.68034411310558,315.4684121075472
2025,122.40565650909231,46.06428731106757,55.23246730327788,65.68820370904568,320.40250292514
2026,124.26919855091889,46.93018588766632,55.02137393284569,66.69606330498566,325.3365937427321
2027,126.13274059274573,47.7960844642652,54.810280562414164,67.70392290092579,330.27068456032504
2028,127.99628263457298,48.66198304086432,54.599187191984115,68.7117824968661,335.2047753779189
2029,129.85982467639968,49.52788161746324,54.388093821552076,69.71964209280608,340.13886619551124
2030,131.7233667182265,50.39378019406211,54.17700045112048,70.72750168874616,345.0729570131038
2031,133.58690876005335,51.25967877066102,53.96590708068889,71.73536128468625,350.00704783069665
2032,135.45045080187992,52.12557734725976,53.75481371025661,72.7432208806262,354.9411386482886
2033,137.31399284370713,52.991475923858864,53.54372033982565,73.7510804765665,359.8752294658825
2034,139.177534885534,53.857374500457745,53.332626969394084,74.75894007250659,364.8093202834752
2035,141.04107692736068,54.72327307705656,53.1215335989621,75.7667996684466,369.7434111010675
2036,142.90461896918748,55.58917165365541,52.91044022853042,76.77465926438663,374.6775019186601
2037,144.76816101101474,56.455070230254535,52.699346858099545,77.78251886032696,379.61159273625407
2038,146.63170305284137,57.32096880685332,52.48825348766742,78.79037845626694,384.54568355384623
2039,148.49524509466812,58.18686738345217,52.277160117235695,79.798238052207,389.47977437143885
2040,150.35878713649498,59.052765960051055,52.06606674680408,80.80609764814707,394.41386518903147
2041,152.22232917832173,59.91866453664988,51.854973376372264,81.81395724408715,399.34795600662426
2042,154.0858712201486,60.78456311324888,51.64388000594064,82.82181684002721,404.2820468242169
2043,155.94941326197534,61.65046168984775,51.43278663550902,83.82967643596729,409.2161376418095
2044,157.81295530380288,62.51636026644701,51.221693265078336,84.83753603190773,414.1502284594041
2045,159.67649734562963,63.38225884304586,51.010599894646504,85.8453956278478,419.0843192769966
2046,161.54003938745643,64.24815741964471,50.79950652421484,86.85325522378784,424.0184100945892
2047,163.40358142928312,65.11405599624355,50.58841315378289,87.86111481972786,428.9525009121816
2048,165.26712347110993,65.9799545728424,50.37731978335128,88.86897441566792,433.8865917297742
2049,167.1306655129368,66.8458531494413,50.166226412919706,89.87683401160798,438.82068254736697
2050,168.99420755476348,67.71175172604008,49.955133042487574,90.884693607548,443.75477336495914
2051,170.85774959659022,68.57765030263896,49.74403967205602,91.89255320348803,448.68886418255187
2052,172.72129163841703,69.44354887923782,49.53294630162423,92.90041279942812,453.62295500014443
2053,174.58483368024457,70.30944745583709,49.32185293119356,93.9082723953686,458.5570458177391
2054,176.44837572207138,71.17534603243597,49.110759560761956,94.91613199130865,463.49113663533177
2055,178.31191776389818,72.04124460903495,48.899666190330265,95.92399158724871,468.4252274529244
2056,180.17545980572493,72.90714318563377,48.68857281989855,96.93185118318878,473.359318270517
2057,182.03900184755173,73.77304176223265,48.477479449466855,97.93971077912886,478.29340908810974
2058,183.90254388937853,74.63894033883152,48.26638607903512,98.94757037506893,483.22749990570236
2059,185.76608593120517,75.5048389154303,48.055292708603076,99.9554299710089,488.1615907232946
2060,187.62962797303203,76.37073749202916,47.844199338171464,100.96328956694897,493.0956815408872
2061,189.49317001485878,77.23663606862807,47.633105967739795,101.97114916288905,498.02977235847993
2062,191.35671205668638,78.1025346452273,47.42201259730914,102.97900875882951,502.96386317607465
2063,193.22025409851312,78.96843322182617,47.21091922687747,103.98686835476956,507.89795399366716
2064,195.08379614033998,79.83433179842507,46.99982585644596,104.99472795070966,512.8320448112598
2065,196.94733818216662,80.70023037502385,46.7887324860137,106.00258754664962,517.766135628852
2066,198.81088022399342,81.56612895162273,46.57763911558205,107.0104471425897,522.7002264464446
2067,200.67442226582023,82.4320275282216,46.36654574515056,108.01830673852974,527.6343172640373
2068,202.53796430764692,83.29792610482049,46.15545237471857,109.02616633446979,532.5684080816296
2069,204.40150634947372,84.16382468141938,45.94435900428768,110.03402593040983,537.5024988992222
2070,206.26504839130058,85.0297232580183,45.73326563385617,111.04188552634996,542.4365897168151
2071,208.12859043312812,85.89562183461753,45.52217226342538,112.04974512229045,547.3706805344099
2072,209.99213247495487,86.76152041121637,45.31107889299372,113.05760471823048,552.3047713520025
2073,211.85567451678173,87.62741898781528,45.09998552256225,114.06546431417055,557.2388621695951
2074,213.71921655860842,88.4933175644141,44.88889215213013,115.07332391011059,562.1729529871874
2075,215.58275860043517,89.35921614101294,44.67779878169852,116.0811835060506,567.10704380478
2076,217.44630064226203,90.22511471761183,44.46670541126692,117.08904310199067,572.0411346223727
2077,219.30984268408866,91.09101329421063,44.25561204083479,118.0969026979307,576.9752254399651
2078,221.1733847259154,91.95691187080946,44.04451867040297,119.1047622938707,581.9093162575574
2079,223.03692676774227,92.82281044740836,43.8334252999715,120.11262188981081,586.8434070751504
2080,224.90046880956987,93.68870902400765,43.622331929540856,121.12048148575128,591.777497892745
2081,226.76401085139662,94.5546076006065,43.41123855910916,122.12834108169135,596.7115887103375
2082,228.62755289322348,95.42050617720551,43.20014518867755,123.13620067763141,601.6456795279302
2083,230.49109493505017,96.2864047538043,42.989051818245606,124.14406027357143,606.5797703455227
2084,232.35463697687686,97.15230333040313,42.77795844781378,125.15191986951145,611.513861163115
2085,234.21817901870378,98.01820190700205,42.566865077382374,126.15977946545162,616.4479519807081
2086,236.0817210605304,98.88410048360083,42.35577170695035,127.16763906139163,621.3820427983004
2087,237.94526310235722,99.74999906019973,42.14467833651867,128.17549865733164,626.3161336158929
2088,239.80880514418413,100.61589763679856,41.933584966087075,129.18335825327173,631.2502244334856
2089,241.67234718601168,101.48179621339786,41.72249159565629,130.1912178492122,636.1843152510802
2090,243.5358892278383,102.34769478999672,41.51139822522452,131.19907744515223,641.1184060686728
2091,245.39943126966506,103.21359336659556,41.30030485479282,132.2069370410923,646.0524968862653
2092,247.26297331149186,104.0794919431944,41.08921148436091,133.21479663703232,650.9865877038578
2093,249.12651535331878,104.94539051979328,40.87811811392938,134.22265623297244,655.9206785214506
2094,250.9900573951454,105.8112890963921,40.66702474349769,135.23051582891242,660.8547693390431
2095,252.85359943697216,106.67718767299107,40.45593137306581,136.23837542485242,665.7888601566355
2096,254.7171414787989,107.5430862495899,40.24483800263382,137.24623502079248,670.722950974228
2097,256.5806835206256,108.4089848261887,40.03374463220195,138.25409461673246,675.6570417918202
2098,258.44422556245246,109.27488340278762,39.82265126177028,139.2619542126726,680.5911326094131
2099,260.30776760428006,110.14078197938693,39.61155789134014,140.26981380861318,685.5252234270083
2100,262.17130964610686,111.00668055598571,39.400464520908045,141.27767340455316,690.4593142446006
2101,264.03485168793367,111.8725791325846,39.189371150476546,142.28553300049325,695.3934050621932
2102,265.89839372976047,112.7384777091835,38.97827778004495,143.2933925964333,700.3274958797858
2103,267.76193577158716,113.60437628578225,38.7671844096128,144.30125219237334,705.2615866973781
2104,269.6254778134139,114.47027486238112,38.5560910391811,145.30911178831334,710.1956775149707
2105,271.48901985524077,115.33617343898,38.34499766874951,146.3169713842534,715.1297683325635
2106,273.3525618970674,116.20207201557882,38.13390429831746,147.32483098019338,720.0638591501557
2107,275.2161039388942,117.06797059217769,37.92281092788589,148.33269057613347,724.9979499677484
2108,277.07964598072186,117.93386916877715,37.711717557455565,149.34055017207405,729.9320407853435
2109,278.9431880225485,118.79976774537592,37.50062418702332,150.348409768014,734.8661316029355
2110,280.80673006437524,119.66566632197478,37.28953081659168,151.35626936395406,739.8002224205283
2111,282.67027210620205,120.53156489857366,37.078437446160976,152.36412895989412,744.7343132381209
2112,284.53381414802885,121.39746347517244,36.867344075728965,153.37198855583418,749.668404055713
2113,286.3973561898557,122.26336205177137,36.65625070529762,154.3798481517743,754.6024948733062
2114,288.2608982316825,123.12926062837025,36.4451573348659,155.38770774771436,759.536585690899
2115,290.12444027350915,123.99515920496897,36.23406396443378,156.3955673436543,764.470676508491
2116,291.98798231533596,124.86105778156788,36.022970594002075,157.4034269395944,769.4047673260837
2117,293.85152435716367,125.72695635816726,35.81187722357188,158.41128653553497,774.3388581436787
