Entity,Year,Solar Generation - TWh,Wind Generation -TWh,Hydro Generation - TWh,Biofuels Production - PJ - Total
Africa,1965,0.0,0.0,13.905635174733,0.0
Africa,1966,0.0,0.0,15.510004137511,0.0
Africa,1967,0.0,0.0,16.190636359103998,0.0
Africa,1968,0.0,0.0,18.938340564834,0.0
Africa,1969,0.0,0.0,22.100889620817,0.0
Africa,1970,0.0,0.0,27.630429815552002,0.0
Africa,1971,0.0,0.0,26.013390904094,0.0
Africa,1972,0.0,0.0,29.633196415376002,0.0
Africa,1973,0.0,0.0,31.345707551533,0.0
Africa,1974,0.0,0.0,35.667074289357,0.0
Africa,1975,0.0,0.0,37.717969971158,0.0
Africa,1976,0.0,0.0,41.797633239816,0.0
Africa,1977,0.0,0.0,45.928768122531004,0.0
Africa,1978,0.0,0.0,46.306938740575,0.0
Africa,1979,0.0,0.0,49.565232983879994,0.0
Africa,1980,0.0,0.0,48.311784355875304,0.0
Africa,1981,0.0,0.0,50.192906061870495,0.0
Africa,1982,0.0,0.0,50.2062371347722,0.0
Africa,1983,0.0,0.0,45.247160061870495,0.0
Africa,1984,0.0,0.0,44.48997331942449,0.0
Africa,1985,0.0,0.0,49.4496850519584,0.0
Africa,1986,0.0,0.0,51.1453733013589,0.0
Africa,1987,0.0,0.0,49.0564603084245,0.0
Africa,1988,0.0,0.0,53.5934563571399,0.0
Africa,1989,0.0,0.0,56.2762147671271,0.0
Africa,1990,0.0,0.0,57.254659123238,0.26084595959596
Africa,1991,0.0,0.0,60.65148841276201,0.26084595959596
Africa,1992,0.0,0.0,57.8602916846068,0.261560606060606
Africa,1993,0.0,0.002,56.68250726793021,0.26084595959596
Africa,1994,0.0,0.0054,57.59604856711061,0.26084595959596
Africa,1995,0.0,0.0063,59.768876874666994,0.26084595959596
Africa,1996,0.0,0.0071,62.316458674204,0.261560606060606
Africa,1997,0.0,0.0072,63.8524975622244,0.3912689393939389
Africa,1998,0.0,0.0076,66.6548878792364,0.3912689393939389
Africa,1999,0.0,0.0198,70.6842613165359,0.26084595959596
Africa,2000,0.0131410000026226,0.17600000000000002,75.2458166169896,0.261560606060606
Africa,2001,0.0163599999945611,0.41608,80.8641147201386,0.26084595959596
Africa,2002,0.0194710100715058,0.444584,85.1814681310532,1.28361152046471
Africa,2003,0.0230290101063745,0.541199,82.8726014590169,1.8047996163508897
Africa,2004,0.0274610100035677,0.7692805050505049,87.4054692560565,2.07661050532141
Africa,2005,0.0323760101699652,0.7823821111111109,89.0657341822671,2.2669291590201297
Africa,2006,0.04065700986245,0.8525656060606059,92.24055300904051,2.40684422549608
Africa,2007,0.0533332930266589,1.0162233636393398,95.3405618110886,2.530482380259
Africa,2008,0.0751322020028171,1.3121781313131298,97.1572092517623,2.01703073361703
Africa,2009,0.0981529272484478,1.5897309393954298,99.76113689631799,11.9682173503302
Africa,2010,0.213820750424688,2.28418243433914,107.42683264097401,12.515008979774999
Africa,2011,0.452785300917026,2.53747293937963,110.444821003428,13.607732020065301
Africa,2012,0.551142125598304,2.96173124049708,110.95230022209,9.70448003361409
Africa,2013,0.824348140214048,3.55978430255575,117.67284641178301,9.917397476444313
Africa,2014,1.8313081702883,5.15812183421232,123.726794763832,11.054958500985801
Africa,2015,3.59570987414939,8.88828628262324,119.85681994204799,14.963371580848401
Africa,2016,4.93930956480591,11.305820672793901,115.801249959376,16.322805857995903
Africa,2017,6.9840506521210886,12.458179095742901,123.815624670665,17.0094479918106
Africa,2018,9.850222857659027,14.2877954133044,130.387839922165,19.5631746949175
Africa,2019,19.3779778279018,17.5080525020565,132.734790526592,20.850503356174702
Algeria,1965,0.0,0.0,0.4,0.0
Algeria,1966,0.0,0.0,0.355,0.0
Algeria,1967,0.0,0.0,0.41,0.0
Algeria,1968,0.0,0.0,0.563,0.0
Algeria,1969,0.0,0.0,0.361,0.0
Algeria,1970,0.0,0.0,0.58,0.0
Algeria,1971,0.0,0.0,0.33,0.0
Algeria,1972,0.0,0.0,0.495,0.0
Algeria,1973,0.0,0.0,0.752,0.0
Algeria,1974,0.0,0.0,0.4970000000000001,0.0
Algeria,1975,0.0,0.0,0.328,0.0
Algeria,1976,0.0,0.0,0.389,0.0
Algeria,1977,0.0,0.0,0.269,0.0
Algeria,1978,0.0,0.0,0.25,0.0
Algeria,1979,0.0,0.0,0.29100000000000004,0.0
Algeria,1980,0.0,0.0,0.257,0.0
Algeria,1981,0.0,0.0,0.366,0.0
Algeria,1982,0.0,0.0,0.479,0.0
Algeria,1983,0.0,0.0,0.235,0.0
Algeria,1984,0.0,0.0,0.452,0.0
