elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
77.0,1873-01-01,2019-12-02,-33.4021,"HATFIELD CLARE, AS",0.9674,GHCND:ASN00049008,METERS,143.9375
81.0,1876-01-01,2020-10-17,-33.7272,"HATFIELD BENILKIE, AS",0.9078,GHCND:ASN00049049,METERS,144.0175
180.0,1878-01-01,2010-10-09,-30.9753,"COONAMBLE COMPARISON, AS",0.98,GHCND:ASN00051010,METERS,148.3806
186.0,1878-01-01,2016-07-31,-31.457,"WARREN HADDON RIG, AS",0.9756,GHCND:ASN00051025,METERS,147.8824
173.0,1879-01-01,2019-10-25,-31.5495,"NYNGAN AIRPORT, AS",0.9678,GHCND:ASN00051039,METERS,147.1961
133.0,1878-08-01,2020-05-31,-30.0236,"WALGETT COUNCIL DEPOT, AS",0.8351,GHCND:ASN00052026,METERS,148.1218
320.0,1878-07-01,2020-10-22,-29.5416,"WARIALDA POST OFFICE, AS",0.9982,GHCND:ASN00054029,METERS,150.5754
213.0,1870-10-01,2012-06-30,-30.3222,"NARRABRI BOWLING CLUB, AS",0.9448,GHCND:ASN00054120,METERS,149.782
819.0,1879-03-01,2015-05-31,-30.8855,"BENDEMEER CAROLINE ST, AS",0.9615,GHCND:ASN00055004,METERS,151.1533
285.0,1876-12-01,2020-03-31,-30.9841,"GUNNEDAH POOL, AS",0.9733,GHCND:ASN00055023,METERS,150.254
442.0,1873-08-01,2016-06-20,-31.3038,"GOONOO GOONOO STATION, AS",0.9786,GHCND:ASN00055067,METERS,150.9069
1018.0,1865-03-01,2020-10-22,-30.7338,"URALLA SALISBURY COURT, AS",0.9741,GHCND:ASN00056028,METERS,151.5105
735.0,1872-11-01,2020-10-19,-29.4558,"EMMAVILLE STRATHBOGIE, AS",0.9913,GHCND:ASN00056029,METERS,151.4791
838.0,1870-09-01,2020-10-22,-29.0479,"TENTERFIELD FEDERATION PARK, AS",0.9949,GHCND:ASN00056032,METERS,152.0172
870.0,1868-08-01,2020-08-31,-28.5417,"MARYLAND, AS",0.8975,GHCND:ASN00056207,METERS,151.9909
27.4,1877-05-01,2020-10-22,-29.4333,"YAMBA PILOT STATION, AS",0.9982,GHCND:ASN00058012,METERS,153.3633
26.0,1858-02-01,2012-07-31,-28.8755,"CASINO AIRPORT, AS",0.8922,GHCND:ASN00058063,METERS,153.0493
20.0,1841-01-01,2010-07-31,-31.4399,"PORT MACQUARIE BELLEVUE GARDE, AS",0.8403,GHCND:ASN00060026,METERS,152.911
40.0,1863-05-01,2020-10-19,-32.6385,"BRANXTON DALWOOD VINEYARD, AS",0.8317,GHCND:ASN00061014,METERS,151.4173
466.0,1870-10-01,2019-10-09,-31.7651,"MURRURUNDI POST OFFICE, AS",0.9811,GHCND:ASN00061051,METERS,150.8363
143.0,1870-09-01,2012-12-31,-32.2611,"MUSWELLBROOK LOWER HILL ST, AS",0.8776,GHCND:ASN00061053,METERS,150.8847
33.0,1862-01-01,2020-10-22,-32.9185,"NEWCASTLE NOBBYS SIGNAL STATIO, AS",0.9827,GHCND:ASN00061055,METERS,151.7985
395.0,1870-09-01,2015-10-21,-32.0051,"CASSILIS POST OFFICE, AS",0.9449,GHCND:ASN00062005,METERS,149.9815
420.0,1874-01-01,2020-10-22,-31.9963,"CASSILIS DALKEITH, AS",0.9376,GHCND:ASN00062009,METERS,149.9856
454.0,1870-08-01,2020-09-30,-32.5956,"MUDGEE GEORGE STREET, AS",0.9908,GHCND:ASN00062021,METERS,149.5956
460.0,1866-09-01,2020-10-21,-33.5343,"KURRAJONG HEIGHTS BELLS LINE, AS",0.9136,GHCND:ASN00063043,METERS,150.6338
900.0,1878-01-01,2020-10-22,-33.4769,"LITHGOW COOERWULL, AS",0.6723,GHCND:ASN00063226,METERS,150.1303
375.0,1878-01-01,2010-11-30,-31.7231,"NEILREX CAIGAN, AS",0.9793,GHCND:ASN00064007,METERS,149.2558
505.0,1879-03-01,2020-10-22,-31.2712,"COONABARABRAN NAMOI STREET, AS",0.9994,GHCND:ASN00064008,METERS,149.2714
39.0,1858-07-01,2020-08-31,-33.8607,"SYDNEY OBSERVATORY HILL, AS",1.0,GHCND:ASN00066062,METERS,151.205
122.0,1867-01-01,2020-10-22,-33.9696,"BRINGELLY MARYLAND, AS",0.9234,GHCND:ASN00067015,METERS,150.725
