Year,DP01,DP10,DP1X,EMXP,PRCP,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,FZF0,FZF5,FZF6,HDSD,HTDD,TAVG,TMAX,TMIN,FZF1,FZF2,FZF7,FZF8,FZF3,FZF9,DSNW,EMSN,SNOW,FZF4,DSND,EMSD,DYFG,DYTS,WDMV,DYHF,EVAP,WDFG,WSFG
1880-01-01T00:00:00,93.29936305732484,56.832271762208066,4.738853503184713,49.33312101910828,656.2584905660372,310.4189999999999,310.4189999999999,15.263636363636364,116.32727272727273,43.36521739130435,117.41739130434783,11.547826086956523,-19.662727272727277,32.93217391304349,-0.8836538461538458,-1.2457142857142853,-3.4343434343434343,3663.7637254901942,3663.7637254901942,8.942685185185184,14.119478260869561,4.070545454545454,-3.2979591836734685,-5.521111111111113,-5.970329670329671,-8.307865168539324,-8.098717948717946,-10.830864197530863,25.014285714285716,224.85714285714286,2108.1805555555557,-10.223188405797098,0.0,0.0,8.0,,,,,,
1881-01-01T00:00:00,89.35804701627487,53.13381555153707,4.2025316455696204,50.03056057866179,605.8419354838719,350.72695652173894,350.72695652173894,14.917355371900827,119.91735537190083,44.101694915254235,110.41525423728814,14.016949152542374,-20.546280991735543,34.094067796610176,-1.3203539823008845,-1.021621621621621,-3.124074074074075,3763.1899999999982,3763.1899999999982,8.934782608695652,13.808135593220342,3.99190082644628,-3.2198113207547165,-5.6744680851063825,-5.949523809523811,-8.429,-7.807792207792208,-10.9,21.573333333333334,221.85333333333332,1751.5,-10.347619047619046,1.6666666666666667,26.666666666666668,,,,,,,
1882-01-01T00:00:00,89.11402157164869,54.016949152542374,4.084745762711864,50.65485362095526,611.375572519084,267.28333333333336,267.28333333333336,12.880794701986755,122.76158940397352,41.20863309352518,99.28776978417267,10.345323741007194,-19.64238410596028,32.13309352517986,-0.8478873239436618,-0.8274647887323937,-3.1954545454545453,3537.5619469026537,3559.349999999999,8.678529411764705,13.512733812949637,3.6377483443708614,-3.3688405797101444,-5.441085271317831,-5.631200000000001,-7.994782608695652,-8.378225806451615,-10.741441441441445,26.194805194805195,232.58441558441558,2230.5569620253164,-10.775438596491227,1.5,50.0,,7.5,,,,,
1883-01-01T00:00:00,87.09782608695652,54.03940217391305,3.4619565217391304,43.75774456521737,580.6971621621623,217.68787878787887,217.68787878787887,21.07792207792208,134.45454545454547,54.723404255319146,92.82978723404256,8.22695035460993,-21.257792207792217,31.785815602836866,-1.0520270270270267,-0.7374149659863943,-3.1857142857142855,4061.48846153846,4061.48846153846,7.277372262773725,12.274609929078016,2.3873376623376616,-3.33450704225352,-5.689312977099239,-5.989051094890514,-8.343846153846155,-8.364166666666668,-10.720325203252033,27.724137931034484,215.816091954023,2201.511111111111,-11.05913043478261,3.0,50.0,,1.5,,,,,
1884-01-01T00:00:00,82.3038728897716,49.304865938430986,3.11519364448858,41.584905660377295,537.6227360308287,236.53464052287578,236.53464052287578,20.65142857142857,125.80571428571429,49.18452380952381,100.96428571428571,10.244047619047619,-21.444000000000003,32.58452380952384,-1.0797619047619047,-0.9317073170731704,-3.1528301886792445,3999.069503546099,3999.069503546099,7.846499999999997,12.993095238095242,2.8015428571428562,-3.2320987654320983,-5.887162162162164,-5.973426573426574,-8.107575757575754,-8.394285714285717,-11.000806451612904,26.796747967479675,244.1951219512195,2160.6220472440946,-10.683206106870225,0.0,0.0,5.25,4.666666666666667,,,,,
1885-01-01T00:00:00,83.71428571428571,50.732484076433124,3.791628753412193,47.92602365787086,566.3862249346129,226.07878787878798,226.07878787878798,22.82608695652174,133.03804347826087,56.575581395348834,93.86627906976744,7.3023255813953485,-21.485326086956523,31.57558139534885,-0.8477011494252867,-0.936781609195402,-3.339393939393939,4270.868152866242,4259.8910256410245,7.142603550295856,12.083662790697671,2.377119565217392,-3.1927710843373482,-5.509493670886074,-5.693037974683543,-8.45496688741722,-8.181632653061225,-11.142758620689653,26.325581395348838,241.86821705426357,2159.1567164179105,-10.437681159420288,0.0,4.0,10.9375,3.55,,,,,
1886-01-01T00:00:00,87.63235294117646,54.98856209150327,4.564542483660131,48.40228758169937,624.4885271317827,236.50110497237569,236.50110497237569,21.896713615023476,128.94366197183098,55.642857142857146,103.19897959183673,12.01530612244898,-23.039436619718305,33.010714285714286,-0.9878172588832478,-0.8999999999999988,-3.468947368421053,3985.8508287292793,3985.8508287292793,7.658947368421054,12.733622448979597,2.660657276995306,-3.328723404255319,-5.670165745856352,-6.041847826086958,-8.337912087912091,-8.042105263157898,-10.62824858757063,24.18796992481203,237.27067669172934,1993.5072463768115,-10.784905660377367,0.6,14.0,12.3,3.5,,,,,
1887-01-01T00:00:00,96.91336818521285,62.00597460791636,5.987303958177745,55.222852875279976,747.9467044649185,294.1085427135677,294.1085427135677,19.50655021834061,132.85589519650654,53.10328638497653,106.11267605633803,14.60093896713615,-21.156768558951963,33.521126760563384,-0.8857142857142855,-1.0721698113207536,-3.3044776119402983,4018.3011111111077,4018.3011111111077,7.899330143540673,12.990140845070425,2.890436681222704,-3.3363184079602015,-5.589528795811521,-5.702040816326531,-7.992592592592598,-8.267039106145262,-10.453005464480874,26.243055555555557,223.1875,2171.9659863945576,-10.616470588235297,6.285714285714286,51.42857142857143,10.764705882352942,5.15,,,,,
1888-01-01T00:00:00,75.48335388409372,44.697287299630084,3.2416769420468556,43.95098643649822,493.79282725642554,270.32553191489365,270.32553191489365,22.57079646017699,133.9646017699115,55.642857142857146,102.28571428571429,13.966666666666667,-22.271681415929198,32.99904761904762,-0.8766990291262124,-1.0263157894736836,-3.3144278606965187,4195.334210526317,4195.334210526317,7.730792079207925,12.644095238095243,2.6178318584070777,-3.262051282051283,-5.543181818181818,-5.689795918367347,-8.393650793650803,-8.16012269938651,-11.020786516853944,21.159420289855074,224.57971014492753,1696.3525179856115,-10.340000000000007,6.583333333333333,66.66666666666667,6.722222222222222,5.090909090909091,,,,,
1889-01-01T00:00:00,92.5174041297935,59.24070796460177,6.40353982300885,62.8294395280236,759.3513966480447,292.56923076923096,292.56923076923096,14.244725738396625,126.03375527426161,44.49777777777778,107.97777777777777,12.848888888888888,-21.338396624472583,32.693777777777775,-0.9481651376146777,-1.2226244343891397,-3.55645933014354,3886.2478947368445,3886.2478947368445,8.585159817351599,13.564044444444438,3.5159915611814347,-3.1748792270531374,-5.693367346938776,-6.099024390243901,-8.580303030303032,-8.032044198895033,-10.833678756476685,20.120805369127517,221.76510067114094,1726.496644295302,-10.554651162790703,18.4,88.53333333333333,10.2,7.5,,,,,
1890-01-01T00:00:00,97.27068062827225,64.0544502617801,6.697382198952879,60.60235602094227,812.6158817635279,263.2400966183576,263.2400966183576,19.749063670411985,129.04494382022472,47.21900826446281,102.69421487603306,12.409090909090908,-21.029588014981275,32.68636363636362,-1.0153846153846144,-1.029959514170039,-3.3638655462184874,3762.3497382198943,3762.3497382198943,8.336793248945149,13.327438016528923,2.8379775280898865,-3.258620689655171,-5.723873873873873,-6.03,-8.377927927927928,-8.319815668202768,-10.876056338028164,20.888198757763973,208.0310559006211,1711.638036809816,-10.903902439024396,11.833333333333334,83.05555555555556,10.484848484848484,8.5,0.0,,,,
1891-01-01T00:00:00,88.31794871794872,56.707692307692305,6.274358974358974,61.62625641025654,720.6540755467197,241.3192825112109,241.3192825112109,18.402135231316727,134.61565836298934,44.3921568627451,108.10588235294118,11.890196078431373,-21.12882562277579,32.76313725490197,-1.1558490566037731,-0.8513207547169797,-3.1188235294117637,3960.861883408072,3960.861883408072,8.489473684210527,13.558627450980389,2.7271886120996456,-3.440466926070039,-5.864049586776864,-5.670445344129558,-8.348547717842333,-7.927192982456147,-10.86324786324787,19.69375,206.11875,1537.558282208589,-10.507211538461538,13.578947368421053,121.47368421052632,11.195121951219512,6.515151515151516,1901.0,,,,
1892-01-01T00:00:00,87.45009881422925,55.898221343873516,5.481719367588933,54.7276679841896,685.108594114899,318.2445378151261,318.2445378151261,21.12772585669782,136.42367601246107,51.22727272727273,112.25174825174825,16.8986013986014,-22.065109034267905,33.590559440559474,-1.0182724252491697,-0.9876254180602003,-3.5357894736842117,4026.5504807692296,4026.5504807692296,8.457436823104691,13.631538461538463,2.8098130841121502,-3.3718213058419226,-5.654448398576518,-5.851438848920864,-8.505839416058398,-7.958088235294124,-10.878651685393262,20.15483870967742,207.52903225806452,1606.72049689441,-10.407307692307699,31.0,235.35294117647058,9.195652173913043,7.592592592592593,3566.3333333333335,,,,
1893-01-01T00:00:00,91.16058700209643,58.68846960167715,6.166457023060796,62.5361006289307,751.7523443815683,445.3067567567567,445.3067567567567,19.832635983263597,127.33612273361227,42.45970149253731,141.10597014925372,27.22686567164179,-22.64351464435145,35.32731343283584,-0.9799707602339237,-1.1173216885007318,-3.5311940298507527,3865.023357664234,3865.023357664234,9.66700315457412,15.631746268656714,3.4624407252440688,-3.2414746543778867,-5.575693311582374,-5.8880620155038645,-8.388141025640994,-7.8860215053763145,-10.793521594684346,22.094170403587444,214.9865470852018,1851.1565217391305,-10.34834951456308,38.67272727272727,241.72727272727272,7.409893992932862,7.504,148977.0,,,,
1894-01-01T00:00:00,92.0331450094162,60.55517890772128,6.265913370998117,59.028361581921,762.1661308001447,467.18185776487644,467.18185776487644,13.191693290734824,117.66027689030884,31.97530864197531,150.34792368125702,32.103254769921435,-22.682534611288613,36.34365881032544,-1.0521358159912457,-0.8758544652701281,-3.4643497757847586,3234.856535947712,3234.856535947712,10.629187279151942,16.667822671156017,4.337082002129929,-3.4057823129251794,-6.017112922002319,-6.226057142857132,-8.656331360946707,-8.578883495145604,-11.025746268656693,15.061475409836065,201.29918032786884,1258.5806451612902,-10.973510773130512,17.983333333333334,152.1,7.2274143302180685,10.12,69942.0,,,,
1895-01-01T00:00:00,78.85164835164835,50.55528846153846,5.053571428571429,55.27960164835151,624.3044274300921,485.7023602484475,485.7023602484475,18.553788587464922,130.91206735266604,43.07915057915058,150.63320463320463,32.295366795366796,-23.66454630495791,35.56110038610031,-1.1277027027027071,-1.0202702702702768,-3.3418558736426567,3385.4153743315505,3385.4153743315505,9.993002028397555,16.139787644787646,3.4881852198316143,-3.4520833333333423,-5.743788819875768,-5.826156941649889,-8.193135245901589,-8.019824753559648,-10.764822546972818,16.657794676806084,197.4296577946768,1377.6133828996283,-10.384624553039284,33.21212121212121,171.66666666666666,8.56910569105691,10.988372093023257,,,,,
1896-01-01T00:00:00,84.45664379288833,54.524329382407984,5.766063630692452,58.27738615096691,687.5359075706908,526.5554022988503,526.5554022988503,12.906917164816397,123.28437233134073,36.521038495971354,151.87555953446733,31.961504028648164,-20.436891545687466,35.84145031333928,-1.1237213403880084,-1.18503937007874,-3.579211469534055,3339.172082379858,3339.172082379858,10.661110065851366,16.554333034914944,4.498992314261323,-3.2645776566757636,-5.624501424501406,-5.882793709528201,-8.153550863723575,-7.867996011964059,-10.702752293577959,16.970588235294116,183.46732026143792,1386.2324840764331,-10.34334398296054,44.05825242718446,291.8543689320388,6.679180887372014,9.189655172413794,,,,,
1897-01-01T00:00:00,79.3218161050828,51.15790976584809,5.586521987435751,58.742832667047466,650.2342753217677,511.79256965944205,511.79256965944205,14.713414634146341,118.43216463414635,36.44059795436664,154.96066089693156,33.54602675059009,-21.390701219512188,36.31652242328875,-1.0208234362628663,-1.2664576802507814,-3.783546325878594,3286.7313513513564,3286.7313513513564,10.628194675540751,16.610456333595593,4.388231707317075,-3.21195741195742,-5.713793103448257,-6.2162733930024325,-8.629991645781097,-8.091904761904724,-11.33143607705776,15.948387096774194,168.60645161290321,1240.6730158730159,-10.544612286001957,56.37735849056604,343.7358490566038,7.317073170731708,9.658730158730158,41357.0,,,,
1898-01-01T00:00:00,81.84607046070461,54.03658536585366,6.034959349593496,62.523035230352214,702.4916887241917,540.635568760611,540.635568760611,11.67383761276891,120.54059680777237,31.835014409221902,150.51945244956772,31.681556195965417,-20.141845940319214,36.0141210374639,-1.0256428571428573,-0.9691428571428556,-3.3454413892908885,3112.272643253236,3112.272643253236,10.797111448066708,16.64695244956771,4.7346842470506605,-3.3585223116313085,-5.60068807339448,-5.651987996999239,-8.1644933228594,-8.203957996768992,-10.840700583819812,13.28688524590164,186.01639344262296,1136.4959785522788,-10.6933220625528,42.80689655172414,246.11724137931034,6.60702875399361,11.298387096774194,49761.0,,,,
1899-01-01T00:00:00,82.69428208386277,54.10724269377383,5.391867852604828,52.94218551461256,670.1064710308509,497.67758186398004,497.67758186398004,17.733200266134396,123.05788423153693,38.6662078458362,155.01445285615966,33.24363386097729,-26.49620758483033,35.98169304886434,-1.18428277282086,-1.093419267299859,-3.435497237569056,3493.1657730116153,3491.7239713774575,10.29569052783803,16.406366139022747,4.060918163672652,-3.676950354609921,-5.966220238095228,-6.168828451882843,-8.594978783592664,-8.295953307392995,-11.21396688264935,14.23728813559322,177.6129943502825,1191.2555555555555,-10.783907125700521,51.32592592592592,334.3851851851852,7.3559322033898304,10.653543307086615,52116.0,,,,
1900-01-01T00:00:00,86.83504918782887,56.32372454815832,5.822466254861587,54.805971173644494,700.0900806090453,572.874274193548,572.874274193548,12.861360718870346,120.01091142490372,32.3406374501992,161.41235059760956,36.43559096945551,-20.651347881899888,36.153054448871146,-1.2114819759679503,-1.0749502982107297,-3.431625084288604,3206.803900414939,3206.803900414939,11.076241184767266,17.171932270916304,4.83906290115533,-3.469315825846577,-5.817950635751659,-5.8824054982817655,-8.603991596638686,-8.068446601941734,-11.575657894736809,13.02247191011236,168.28764044943821,1054.6013363028953,-10.607005253940411,42.01315789473684,270.5921052631579,8.23671497584541,11.67379679144385,42992.0,2.0,,,
1901-01-01T00:00:00,77.81888053467001,53.07000835421888,7.559732664995823,67.54857142857124,773.1311561933023,544.8610332749564,544.8610332749564,13.462059620596206,126.20392953929539,37.025107604017215,151.7338593974175,38.28981348637016,-21.507181571815753,37.56728837876614,-1.0817802503477019,-0.9547038327526127,-3.3444365698086442,3204.9971625107455,3204.9971625107455,10.57706451612904,16.728486370157814,4.198739837398373,-3.361212976022568,-5.865429403202302,-5.922384784198952,-8.662490508731997,-8.130007616146223,-11.408980582524258,13.340264650283554,157.08317580340264,1019.9719101123595,-10.751203852327405,44.371929824561406,289.53333333333336,7.599022004889975,12.64,37573.0,,,,
