Entity,Code,Year,Coal Consumption - EJ,Gas Consumption - EJ,Geo Biomass Other - TWh,Hydro Generation - TWh,Nuclear Generation - TWh,Solar Generation - TWh,Wind Generation -TWh,Oil Consumption - EJ
China,CHN,2019,81.674796492,11.0640101089237,102.82968235294099,1269.67417401185,348.7,223.8,405.7,27.906048029500603
Colombia,COL,1965,0.084322152,0.0322245,0,3.5439494658615898,0,0,0,0.16575837190316298
Colombia,COL,1966,0.084322152,0.0336105,0,3.93721936832327,0,0,0,0.18891895551589802
Colombia,COL,1967,0.09252828,0.04158,0,4.38925373896888,0,0,0,0.190581723842395
Colombia,COL,1968,0.084280284,0.04237695,0,4.89101189038551,0,0,0,0.21273429404323102
Colombia,COL,1969,0.08997433199999999,0.046275075,0,5.4379734788667,0,0,0,0.204372420549264
Colombia,COL,1970,0.093909924,0.04497569999999999,0,6.05274022294472,0,0,0,0.23152137433492198
Colombia,COL,1971,0.07303064547600001,0.046816199999999995,0,6.42340840687413,0,0,0,0.239464978
Colombia,COL,1972,0.07587892551599999,0.057186900000000006,0,7.11502099396191,0,0,0,0.271538428
Colombia,COL,1973,0.077275181448,0.059255999999999996,0,7.74334876915931,0,0,0,0.261104545
Colombia,COL,1974,0.093446570844,0.06165269999999999,0,8.79206850905713,0,0,0,0.289337264
Colombia,COL,1975,0.09498446224254,0.0581121,0.18899999999999997,9.7323,0,0,0,0.291015344
Colombia,COL,1976,0.09290054848464,0.0619362,0.20199999999999999,10.22642,0,0,0,0.306879236
Colombia,COL,1977,0.0952366780053,0.0693171,0.192,10.451812,0,0,0,0.307859793
Colombia,COL,1978,0.09625971693312,0.0858627,0.20600000000000002,12.071439999999999,0,0,0,0.314292868
Colombia,COL,1979,0.097099177032,0.0925974,0.21600000000000003,13.2593,0,0,0,0.333320124
Colombia,COL,1980,0.1018336041918,0.10213739999999999,0.22699999999999998,14.447020000000002,0,0,0,0.318300437483174
Colombia,COL,1981,0.10375204200660001,0.11028419999999999,0.212,14.26534,0,0,0,0.32609398004462203
Colombia,COL,1982,0.1080297332478,0.1189125,0.231,15.238535999999998,0,0,0,0.33456470201311106
Colombia,COL,1983,0.1190683026234,0.1316151,0.23399999999999999,15.365776,0,0,0,0.34606153952563
Colombia,COL,1984,0.12396182399639999,0.1307007,0.255,17.140220000000003,0,0,0,0.34417748254075
Colombia,COL,1985,0.1278530191692,0.13115610000000003,0.267,18.440772,0,0,0,0.35731852128598707
Colombia,COL,1986,0.12624634722960001,0.1334547,0.266,21.332952,0,0,0,0.353919846299906
Colombia,COL,1987,0.1587394216746,0.13549049999999999,0.268,23.24756,0,0,0,0.37263123858869396
Colombia,COL,1988,0.1266287067396,0.1360017,0.27399999999999997,24.5194,0,0,0,0.392092853153716
Colombia,COL,1989,0.1467121876272,0.1298124,0.27399999999999997,26.782120000000003,0,0,0,0.4026992437522971
Colombia,COL,1990,0.0668951978058,0.1347102,0.27399999999999997,27.495852000000003,0,0,0,0.4089148142845929
Colombia,COL,1991,0.0841278823866,0.138897,0.26899999999999996,27.72608,0,0,0,0.41956107046490604
Colombia,COL,1992,0.14071317102179998,0.1366767,0.34,22.280584,0,0,0,0.461336414764504
Colombia,COL,1993,0.147535662105,0.14190029999999998,0.389,27.856392,0,0,0,0.490470888682467
Colombia,COL,1994,0.16887075126479997,0.1403874,0.444,32.058392,0,0,0,0.506331276078823
Colombia,COL,1995,0.15111687121128,0.149301,0.47700000000000004,31.9894,0,0,0,0.533231924518874
Colombia,COL,1996,0.1171476468513,0.16236989999999998,0.496,35.287624180287,0,0,0,0.550677347316413
Colombia,COL,1997,0.13874615586,0.204264,0.483,31.475759999999998,0,0,0,0.560173931654951
Colombia,COL,1998,0.13195077012,0.23719050000000003,0.532,30.781684000000002,0,0,0,0.547617460419727
Colombia,COL,1999,0.105379377537677,0.2048724,0.457,33.700658000000004,0,0,0,0.485789117257421
Colombia,COL,2000,0.11317613475931,0.20648906478282,0.496,30.815718,0,0.0018350136986301398,0,0.47581303370462996
Colombia,COL,2001,0.11145031325999999,0.213803752252318,0.496,31.632658000000003,0,0.00266875,0,0.446320815999561
Colombia,COL,2002,0.0916610723028,0.21595253368199,0.491,33.968038,0,0.00465125,0,0.438950580450985
Colombia,COL,2003,0.10160939410869001,0.206999277725025,0.495,36.176359999999995,0,0.006405,0,0.45671533032422496
Colombia,COL,2004,0.08891537723639999,0.22085352146336398,0.467,38.330058,0,0.007951726027397259,0.051989999999999995,0.45645463254250707
Colombia,COL,2005,0.0560244311874001,0.23206839440452698,0.503,39.220888,0,0.00953125,0.04948,0.47384961416231297
Colombia,COL,2006,0.159588157358241,0.243528562029441,0.519726085710441,42.55789176579,0,0,0.0629813927899997,0.4675313865241729
Colombia,COL,2007,0.140514980166034,0.257818832397596,0.507136400947158,44.241981627730105,0,0,0.0498909749199997,0.46348475962897395
Colombia,COL,2008,0.185911561232293,0.261904120340221,0.509349324642553,46.16088280927,0,0,0.0539181667099997,0.5016516683778329
Colombia,COL,2009,0.171003002723144,0.30165550947703,1.00328730364401,40.8373660316999,0,0,0.0577078140299997,0.46056624838904203
Colombia,COL,2010,0.20126642577118803,0.314824959723664,1.10998231943943,40.55746262644,0,0,0.0385699199099997,0.5145075433002779
Colombia,COL,2011,0.162959139860744,0.30653897245900896,1.37838773189576,48.4274781345601,0,0,0.0412719445799997,0.5523321742627321
Colombia,COL,2012,0.19641721797518,0.340772316407797,1.47605857737621,47.5817097641901,0,0,0.0548547113299997,0.598581729660364
Colombia,COL,2013,0.21128399072120302,0.377181197020183,1.34643372060678,44.3627900734299,0,0,0.0576248025999997,0.602860695015717
Colombia,COL,2014,0.22380089674715198,0.40982622656636,1.72892301592235,44.741963397739895,0,0,0.07023029788,0.6407532815532551
Colombia,COL,2015,0.20800790561215,0.403622257757693,1.8229001295927802,44.6819023670798,0,0,0.06837744831,0.6747412323166699
Colombia,COL,2016,0.228769320159071,0.435476238860872,1.99380433528889,46.787926526789796,0,0,0.05088734136,0.699160432424975
Colombia,COL,2017,0.174341296475379,0.4451761057043621,1.99125928385928,57.3419,0,0,0.00307141922,0.684267344981944
Colombia,COL,2018,0.158061037708487,0.47556423317468205,2.11902928900707,56.647014069949996,0,0.011999820990000002,0.05543717592999999,0.690930508232116
Colombia,COL,2019,0.257706280952272,0.484071971622184,2.04753083316707,51.542434930009996,0,0.12306651465999999,0.05953683606000001,0.7016674470693879
Croatia,HRV,1990,0.033852329532,0.0918819,0,3.805,0,0,0,0.195392218
